Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
CABLES1	18q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NHLRC4	16p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AUNIP	1p36.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LOC101929762	4q26	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MPC2	1q24.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LETMD1	12q13.12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C1QBP	17p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DNAH17-AS1	17q25.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DBNDD1	16q24.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NHLH2	1p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SNU13	22q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
POC1A	3p21.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EQTN	9p21.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NIT1	1q23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RMI2	16p13.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
OSR2	8q22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TRIM50	7q11.23	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NDFIP2	13q31.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAAP24	19q13.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ASB9	Xp22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C7ORF25	7p14.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NDUFAF3	3p21.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ASB7	15q26.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FBXO6	1p36.22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ASB8	12q13.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MRPL49	11q13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
POTEB	15q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HIBCH	2q32.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MYL6B	12q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NMT2	10p13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PTTG1IP	21q22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HES2	1p36.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM50B	21q22.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EIF2S3B	12p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NSMCE1	16p12.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NABP2	12q13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MILR1	17q23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZNF879	5q35.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM98A	2p22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SLC30A7	1p21.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PEX16	11p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SNRNP40	1p35.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM106B	7p21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TSEN34	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ATP5MGL	22q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C12ORF66	12q14.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CDRT4	17p12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
KCTD15	19q13.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SLC25A20	3p21.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PARS2	1p32.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
OVCA2	17p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MMACHC	1p34.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZNHIT6	1p22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NTN1	17p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CALM1	14q32.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
OR7A10	19p13.12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PRRG4	11p13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CALM2	2p21	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FDXACB1	11q23.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ULK3	15q24.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MARCH5	10q23.32-q23.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NUDT19	19q13.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NUS1	6q22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NTS	12q21.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DSCC1	8q24.12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CAPZA1	1p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MED7	5q33.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CAPZB	1p36.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR1-1HG	20q13.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM32A	19p13.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZNF805	19q13.43	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CYHR1	8q24.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MOB3C	1p33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TPGS1	19p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PIGW	17q12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
OCM2	7q21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
GGPS1	1q42.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CALY	10q26.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HACD2	3q21.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM228A	2p23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
IGLON5	19q13.41	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMED9	5q35.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CBFB	16q22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C17ORF64	17q23.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RPS19BP1	22q13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CBR3	21q22.12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C11ORF49	11p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EPDR1	7p14.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EIF4E2	2q37.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
THEMIS2	1p35.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CCNH	5q14.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TLNRD1	15q25.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ROPN1	3q21.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
STX8	17p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CHIC2	4q12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ADPGK	15q24.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AKAP5	14q23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM167A	5q14.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SH3BGRL3	1p36.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TIMM9	14q23.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR551B	3q26.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CD28	2q33.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
VPS37C	11q12.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NSMCE4A	10q26.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DERL1	8q24.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZMYND19	9q34.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM122A	9q21.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CHCHD7	8q12.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SCARB2	4q21.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
COX20	1q44	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PPDPF	20q13.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MXD3	5q35.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MBLAC2	5q14.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR596	8p23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
VHLL	1q22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CD40LG	Xq26.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TBPL1	6q23.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C9ORF40	9q21.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TLCD1	17q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CD59	11p13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR587	6q21	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DHRS11	17q12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CD68	17p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PLEKHF1	19q12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TAPBPL	12p13.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CD79B	17q23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CD81	11p15.5	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CD151	11p15.5	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BAG5	14q32.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PUS3	11q24.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SEPT7	7p14.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CDC20	1p34.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PDCL	9q33.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PTGES	9q34.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PBOV1	6q23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PCBP1	2p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C8ORF37	8q22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZCCHC10	5q31.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CENPO	2p23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZKSCAN4	6p22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MAGOHB	12p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RIPPLY1	Xq22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZNF576	19q13.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ASPN	9q22.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C4ORF46	4q32.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ATP6V1G1	9q32	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SGK494	17q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM109A	12q24.12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TDRP	8p23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
WBP1L	10q24.32	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CDKN1B	12p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ANKRD13B	17q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CDKN2C	1p32.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SRFBP1	5q23.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CDKN3	14q22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PDCD2	6q27	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SUMO4	6q25.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CCL4L2	17q12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
THAP1	8p11.21	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CD52	1p36.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CEBPA	19q13.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIRLET7E	19q13.41	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ELP6	3p21.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DCDC2B	1p35.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PDGFA	7p22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PNPO	17q21.32	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR100	11q24.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PDHB	3p14.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AIF1L	9q34.12-q34.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MAD2L1BP	6p21.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PPM1M	3p21.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR1283-1	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RTBDN	19p13.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RNF14	5q31.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RRN3P2	16p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NBPF15	1q21.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RAB36	22q11.23	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RIC8B	12q23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR1197	14q32.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RNF7	3q23	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PF4V1	4q13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
GAGE2B	Xp11.23	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR1179	15q26.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ARL8B	3p26.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ALKBH5	17p11.2|17p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR1261	11q14.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SIGLEC15	18q12.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
KCNK4	11q13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CLCA3P	1p22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZNRD1	6p22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CIRBP	19p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PGF	14q24.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LSMEM2	3p21.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TTC19	17p12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CKS2	9q22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SYCE2	19p13.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RPL32P3	3q21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FEZ1	11q24.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CYB561D1	1p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR182	7q32.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LOC101929066	8p22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EXOC3-AS1	5p15.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
COPS7A	12p13.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TAX1BP3	17p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR548I1	3q21.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR1283-2	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR192	11q13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
THAP2	12q21.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HS2ST1	1p22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMUB1	7q36.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SERPINE2	2q36.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR1207	8q24.21	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CLNS1A	11q14.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
STRADA	17q23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR197	1p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CLTA	9p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MRGBP	20q13.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
METTL18	1q24.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RBP7	1p36.22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR200A	1p36.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LTB4R	14q12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR320B1	1p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PIN1	19p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PIN4	Xq13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MRRF	9q33.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RBM18	9q33.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM47	Xp21.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
STOML2	9p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
UBE2W	8q21.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CLINT1	5q33.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AMMECR1L	2q14.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CNTF	11q12.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DUSP23	1q23.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR222	Xp11.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PLA2G1B	12q24.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM150A	2p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SLC5A10	17p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C18ORF21	18q12.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM192	4q32.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NUDT14	14q32.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NRSN1	6p22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RNF121	11q13.4	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HIST2H3D	1q21.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM206A	9q31.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CCNI2	5q31.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SMCR8	17p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DDX19A	16q22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C19ORF54	19q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MRPL16	11q12.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PYDC1	16p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
USP17L17	4p16.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C6ORF48	6p21.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C5ORF22	5p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
COMMD8	4p12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
UFSP2	4q35.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AGPAT5	8p23.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ACER3	11q13.5	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AP3M1	10q22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SLC31A2	9q32	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CORT	1p36.22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TRUB2	9q34.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MAP3K8	10p11.23	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
COX5B	2q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PNOC	8p21.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TCL6	14q32.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C19ORF12	19q12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ABHD10	3q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
COX7C	5q14.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
COX8A	11q13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BEX3	Xq22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TTC23L	5p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
GOLGA8M	15q13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CPB2	13q14.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
POLB	8p11.21	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C20ORF27	20p13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SLC35F6	2p23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LRRC59	17q21.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NKPD1	19q13.32	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
